"nome","resumo","coordenador"
"CAMINHOS E DESCAMINHOS NA DOCÊNCIA COM A EJA EM PRÁTICAS CURRICULARES","Em breve este conteúdo estará disponível.","Adriana De Almeida "
"VIVENDO A DOCÊNCIA :MONITORIA EM MOVIMENTO","Em breve este conteúdo estará disponível.","Adriana Do Carmo Corrêa Gonçalves "
"EMPRETECER A PRÁTICA PEDAGÓGICA: ESTRATEGIAS DE EXISTÊNCIA E RESISTÊNCIA NA DOCÊNCIA","Em breve este conteúdo estará disponível.","Adriana Do Carmo Corrêa Gonçalves "
"RELAÇÕES ÉTNICO-RACIAIS","Em breve este conteúdo estará disponível.","Alexandre Ribeiro Neto "
"CANAL LABORAV: TELEVISÃO EDUCACÃO E PERIFERIA","Em breve este conteúdo estará disponível.","Alita Villas Boas De Sá Rego "
"ACERVOS E MATERIAIS PARA A PESQUISA E O ENSINO DA HISTÓRIA DA EDUCAÇÃO DA BAIXADA FLUMINENSE","Em breve este conteúdo estará disponível.","Amália Cristina Dias Da Rocha Bezerra "
"SOCIOLOGIA DA EDUCAÇÃO: INTRODUZINDO VOZES FEMININAS","Em breve este conteúdo estará disponível.","Amanda a André De Mendonça "
"TEMÁTICAS EMERGENTES NO ENSINO DE CIÊNCIAS E BIOLOGIA","Em breve este conteúdo estará disponível.","Amanda Lima De Almeida "
"ALFABETIZAÇÃO E LETRAMENTO NO CONTEXTO DE PANDEMIA: IMPLICAÇÕES E DESDOBRAMENTOS DO E. R.EMERGENCIAL","Em breve este conteúdo estará disponível.","Ana Lucia Gomes De Souza "
"REFLEXÕES SOBRE ENSINAR E APRENDER NA PANDEMIA DE COVID-19: A PERSPECTIVA DE PROFESSORES E ALUNOS","Em breve este conteúdo estará disponível.","Ana Lucia Sampaio Ferreira Gomes "
"PROGRAMA DE ESTUDOS E DEBATES DOS POVOS AFRICANOS E AFRO-AMERICANOS","Em breve este conteúdo estará disponível.","Ana Paula Procopio Da Silva "
"GPFORMADI DIGITAL - MEMÓRIAS E NARRATIVAS DE 15 ANOS DE PESQUISA E FORMAÇÃO DOCENTE","Em breve este conteúdo estará disponível.","Andrea Da Paixão Fernandes "
